Account Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript, Opportunity Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript 
0013h00000J7Cv1AAF,false,false,true,true,0063h0000099XcyAAE,true,true,true,true
0013h00000J7Cv1AAF,false,false,true,true,0063h00000FktmCAAR,false,false,false,false
0013h00000J7aGtAAJ,false,false,true,true,0063h0000099XkfAAE,false,true,true,true
0013h00000J7gEYAAZ,false,false,false,false,0063h0000099Xx0AAE,false,false,false,true
0013h00000J7hq7AAB,false,false,false,false,0063h0000099Y2ZAAU,false,false,false,true
0013h00000J7mBoAAJ,false,false,false,false,0063h0000099YGMAA2,false,false,false,true
0013h00000J7mrZAAR,false,false,false,false,0063h0000099YINAA2,true,false,false,true
0013h00000J7ouOAAR,false,false,false,false,0063h0000099YVxAAM,false,false,false,true
0013h00000J7w4CAAR,false,false,false,false,0063h0000099ZDHAA2,false,false,false,true
0013h00000J7xuUAAR,false,false,false,false,0063h0000099ZEUAA2,true,false,false,true
0013h00000J8ENOAA3,false,false,false,false,0063h0000099ZX6AAM,true,true,false,true
0013h00000J8OyQAAV,false,false,false,false,0063h0000099a7KAAQ,true,false,false,true
0013h00000J9PdMAAV,false,false,false,false,0063h0000099cdIAAQ,true,false,false,true
0013h00000J9S7MAAV,false,false,false,false,0063h0000099cnfAAA,true,false,false,false
0013h00000JA4XnAAL,false,false,false,false,0063h0000099dZ5AAI,true,true,false,true
0013h00000KO03kAAD,false,false,false,false,0063h000009VozmAAC,true,false,false,true
0013h00000KO0GzAAL,false,false,false,false,0063h000009Vp74AAC,false,false,false,true
0013h00000KO1jWAAT,false,false,false,false,0063h000009VpfVAAS,true,false,false,true
0013h00000KO1k4AAD,false,false,false,false,0063h000009VpfyAAC,true,false,false,false
0013h00000KO1mGAAT,false,false,false,false,0063h000009Vpi0AAC,false,false,false,true
0013h00000KO2ZqAAL,false,false,false,false,0063h000009Vpx9AAC,false,false,true,true
0013h00000KO3D5AAL,false,false,false,false,0063h000009Vq5ZAAS,false,false,false,true
0013h00000KO3DMAA1,false,false,false,false,0063h000009Vq5lAAC,false,false,false,true
0013h00000KO3DNAA1,false,false,false,false,0063h000009Vq5mAAC,false,false,false,true
0013h00000KO3ETAA1,false,false,false,false,0063h000009Vq6nAAC,true,true,false,true
0013h00000KO3PlAAL,false,false,false,false,0063h000009VqCbAAK,true,true,true,true
0013h00000KO3QWAA1,false,false,false,false,0063h000009VqD8AAK,true,true,false,true
0013h00000KO3fUAAT,false,false,false,false,0063h000009VqJKAA0,false,false,false,true
0013h00000KO3hbAAD,false,false,false,false,0063h000009VqKvAAK,false,false,false,true
0013h00000KO3mCAAT,false,false,false,false,0063h000009VqMnAAK,true,false,false,true
0013h00000KO3mYAAT,false,false,false,false,0063h000009VqN4AAK,false,false,false,true
0013h00000KO4y3AAD,false,false,false,false,0063h000009VqnqAAC,true,false,false,false
